Status_des_Girokontos,Dauer_in_Monaten,Kreditgeschichte,Kreditverwendungszweck,Kreditbetrag,Sparkonto_Wertpapiere,Beschäftigt_seit,Ratenhöhe,Familienstand_Geschlecht,Weitere_Bürgen_Schuldner,Wohnsitzdauer,Vermögen,Alter,Andere_Ratenverpflichtungen,Wohnsituation,Anzahl_bestehender_Kredite,Beruf,Unterhaltspflichtige_Personen,Telefon,Ausländischer_Arbeiter,Ziel
kein Girokonto,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,976,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",35,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),7472,unbekannt/kein Sparkonto,arbeitslos,1,weiblich : geschieden/getrennt/verheiratet,keine,2,Immobilie,24,Keine,Miete,1,arbeitslos/ungelernt - nicht ansässig,1,kein Telefon,ja,guter Kredit
... < 0 DM,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),9271,... < 100 DM,4 <= ... < 7 Jahre,2,männlich : ledig,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",24,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
0 <= ... < 200 DM,6,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,590,... < 100 DM,... < 1 Jahr,3,männlich : verheiratet/witwer,keine,3,Immobilie,26,Keine,Eigentum,1,ungelernt - ansässig,1,kein Telefon,nein,guter Kredit
kein Girokonto,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,930,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,keine,4,Immobilie,65,Keine,Eigentum,4,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,42,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Auto (gebraucht),9283,... < 100 DM,arbeitslos,1,männlich : ledig,keine,2,unbekannt/kein Eigentum,55,Bank,kostenlos,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,15,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Auto (neu),1778,... < 100 DM,... < 1 Jahr,2,weiblich : geschieden/getrennt/verheiratet,keine,1,Immobilie,26,Keine,Miete,2,arbeitslos/ungelernt - nicht ansässig,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,8,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Geschäft,907,... < 100 DM,... < 1 Jahr,3,männlich : verheiratet/witwer,keine,2,Immobilie,26,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,6,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,484,... < 100 DM,4 <= ... < 7 Jahre,3,männlich : verheiratet/witwer,Bürge,3,Immobilie,28,Bank,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
... < 0 DM,36,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (gebraucht),9629,... < 100 DM,4 <= ... < 7 Jahre,4,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",24,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
... < 0 DM,48,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Haushaltsgeräte,3051,... < 100 DM,1 <= ... < 4 Jahre,3,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",54,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
... < 0 DM,48,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),3931,... < 100 DM,4 <= ... < 7 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,46,Keine,kostenlos,1,gelernt - Angestellter/Beamter,2,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,36,Verzögerungen bei der Rückzahlung in der Vergangenheit,Auto (neu),7432,... < 100 DM,1 <= ... < 4 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,54,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,6,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Haushaltsgeräte,1338,500 <= ... < 1000 DM,1 <= ... < 4 Jahre,1,männlich : geschieden/getrennt,keine,4,Immobilie,62,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,6,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,1554,... < 100 DM,4 <= ... < 7 Jahre,1,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",24,Keine,Miete,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Sonstiges,15857,... < 100 DM,arbeitslos,2,männlich : geschieden/getrennt,Mit-Antragsteller,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",43,Keine,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1345,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : verheiratet/witwer,keine,3,Immobilie,26,Bank,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1101,... < 100 DM,1 <= ... < 4 Jahre,3,männlich : verheiratet/witwer,keine,2,Immobilie,27,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,3016,... < 100 DM,1 <= ... < 4 Jahre,3,männlich : verheiratet/witwer,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",24,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,2712,... < 100 DM,.. >= 7 Jahre,2,männlich : ledig,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,41,Bank,Eigentum,1,gelernt - Angestellter/Beamter,2,kein Telefon,ja,schlechter Kredit
... < 0 DM,8,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),731,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,Immobilie,47,Keine,Eigentum,2,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
kein Girokonto,18,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,3780,... < 100 DM,... < 1 Jahr,3,männlich : geschieden/getrennt,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",35,Keine,Eigentum,2,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,21,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),1602,... < 100 DM,.. >= 7 Jahre,4,männlich : verheiratet/witwer,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",30,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,18,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),3966,... < 100 DM,.. >= 7 Jahre,1,weiblich : geschieden/getrennt/verheiratet,keine,4,Immobilie,33,Bank,Miete,3,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,18,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Geschäft,4165,... < 100 DM,1 <= ... < 4 Jahre,2,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",36,Läden,Eigentum,2,gelernt - Angestellter/Beamter,2,kein Telefon,ja,schlechter Kredit
... < 0 DM,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),8335,unbekannt/kein Sparkonto,.. >= 7 Jahre,3,männlich : ledig,keine,4,unbekannt/kein Eigentum,47,Keine,kostenlos,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,48,Verzögerungen bei der Rückzahlung in der Vergangenheit,Geschäft,6681,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,38,Keine,kostenlos,1,gelernt - Angestellter/Beamter,2,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,24,Verzögerungen bei der Rückzahlung in der Vergangenheit,Geschäft,2375,500 <= ... < 1000 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",44,Keine,Eigentum,2,gelernt - Angestellter/Beamter,2,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1216,... < 100 DM,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",23,Keine,Miete,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
... < 0 DM,45,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Geschäft,11816,... < 100 DM,.. >= 7 Jahre,2,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",29,Keine,Miete,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,5084,unbekannt/kein Sparkonto,.. >= 7 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",42,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,15,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2327,... < 100 DM,... < 1 Jahr,2,weiblich : geschieden/getrennt/verheiratet,keine,3,Immobilie,25,Keine,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,schlechter Kredit
... < 0 DM,12,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Auto (neu),1082,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",48,Bank,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,886,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",21,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,4,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,601,... < 100 DM,... < 1 Jahr,1,weiblich : geschieden/getrennt/verheiratet,keine,3,Immobilie,23,Keine,Miete,1,ungelernt - ansässig,2,kein Telefon,ja,guter Kredit
... < 0 DM,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (gebraucht),2957,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,63,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,2611,... < 100 DM,.. >= 7 Jahre,4,männlich : verheiratet/witwer,Mit-Antragsteller,3,Immobilie,46,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,5179,... < 100 DM,4 <= ... < 7 Jahre,4,männlich : ledig,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,29,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,21,Verzögerungen bei der Rückzahlung in der Vergangenheit,Auto (gebraucht),2993,... < 100 DM,1 <= ... < 4 Jahre,3,männlich : ledig,keine,2,Immobilie,28,Läden,Eigentum,2,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
kein Girokonto,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Reparaturen,1943,... < 100 DM,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,4,Immobilie,23,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,24,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Geschäft,1559,... < 100 DM,4 <= ... < 7 Jahre,4,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",50,Bank,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,3422,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,47,Bank,Eigentum,3,gelernt - Angestellter/Beamter,2,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,21,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,3976,unbekannt/kein Sparkonto,4 <= ... < 7 Jahre,2,männlich : ledig,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",35,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),6761,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,2,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",68,Keine,Miete,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1249,... < 100 DM,... < 1 Jahr,4,männlich : verheiratet/witwer,keine,2,Immobilie,28,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,9,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1364,... < 100 DM,4 <= ... < 7 Jahre,3,männlich : ledig,keine,4,Immobilie,59,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,709,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,Immobilie,57,Läden,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,schlechter Kredit
... < 0 DM,20,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),2235,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : verheiratet/witwer,Bürge,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,33,Bank,Miete,2,gelernt - Angestellter/Beamter,1,kein Telefon,nein,schlechter Kredit
kein Girokonto,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (gebraucht),4042,unbekannt/kein Sparkonto,4 <= ... < 7 Jahre,3,männlich : ledig,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,43,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,15,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,1471,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,35,Keine,kostenlos,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,18,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Auto (neu),1442,... < 100 DM,4 <= ... < 7 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,32,Keine,kostenlos,2,ungelernt - ansässig,2,kein Telefon,ja,schlechter Kredit
kein Girokonto,36,Verzögerungen bei der Rückzahlung in der Vergangenheit,Auto (neu),10875,... < 100 DM,.. >= 7 Jahre,2,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",45,Keine,Eigentum,2,gelernt - Angestellter/Beamter,2,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1474,100 <= ... < 500 DM,... < 1 Jahr,4,männlich : verheiratet/witwer,keine,3,Immobilie,33,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,10,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Umschulung,894,unbekannt/kein Sparkonto,4 <= ... < 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,3,wenn nicht A121: Bausparvertrag/Lebensversicherung,40,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,15,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,3343,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,2,unbekannt/kein Eigentum,28,Keine,kostenlos,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,15,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),3959,... < 100 DM,1 <= ... < 4 Jahre,3,weiblich : geschieden/getrennt/verheiratet,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,29,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,9,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),3577,100 <= ... < 500 DM,1 <= ... < 4 Jahre,1,männlich : ledig,Bürge,2,Immobilie,26,Keine,Miete,1,gelernt - Angestellter/Beamter,2,kein Telefon,nein,guter Kredit
kein Girokonto,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (gebraucht),5804,.. >= 1000 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,2,Immobilie,27,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,18,Verzögerungen bei der Rückzahlung in der Vergangenheit,Geschäft,2169,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : verheiratet/witwer,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",28,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
... < 0 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2439,... < 100 DM,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,4,Immobilie,35,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,27,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,4526,.. >= 1000 DM,... < 1 Jahr,4,männlich : ledig,keine,2,Immobilie,32,Läden,Eigentum,2,ungelernt - ansässig,2,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,10,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,2210,... < 100 DM,1 <= ... < 4 Jahre,2,männlich : ledig,keine,2,Immobilie,25,Bank,Miete,1,ungelernt - ansässig,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,15,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,2221,500 <= ... < 1000 DM,1 <= ... < 4 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",20,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2389,... < 100 DM,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",27,Läden,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,3331,... < 100 DM,.. >= 7 Jahre,2,männlich : ledig,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,42,Läden,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Geschäft,7409,unbekannt/kein Sparkonto,.. >= 7 Jahre,3,männlich : ledig,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,37,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,652,... < 100 DM,.. >= 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,24,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,36,Verzögerungen bei der Rückzahlung in der Vergangenheit,Möbel/Ausstattung,7678,500 <= ... < 1000 DM,4 <= ... < 7 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",40,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,6,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),1343,... < 100 DM,.. >= 7 Jahre,1,männlich : ledig,keine,4,Immobilie,46,Keine,Eigentum,2,gelernt - Angestellter/Beamter,2,kein Telefon,nein,guter Kredit
... < 0 DM,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Geschäft,1382,100 <= ... < 500 DM,4 <= ... < 7 Jahre,4,männlich : ledig,keine,1,Immobilie,26,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,15,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Haushaltsgeräte,874,unbekannt/kein Sparkonto,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,1,Immobilie,24,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,3590,... < 100 DM,1 <= ... < 4 Jahre,2,männlich : ledig,Mit-Antragsteller,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,29,Keine,Eigentum,1,ungelernt - ansässig,2,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,11,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),1322,.. >= 1000 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",40,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,18,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Radio/TV,1940,... < 100 DM,... < 1 Jahr,3,männlich : ledig,Mit-Antragsteller,4,unbekannt/kein Eigentum,36,Bank,kostenlos,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,3595,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",28,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,9,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1422,... < 100 DM,... < 1 Jahr,3,männlich : ledig,keine,2,unbekannt/kein Eigentum,27,Keine,kostenlos,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,30,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,6742,unbekannt/kein Sparkonto,4 <= ... < 7 Jahre,2,männlich : ledig,keine,3,wenn nicht A121: Bausparvertrag/Lebensversicherung,36,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),7814,... < 100 DM,4 <= ... < 7 Jahre,3,männlich : ledig,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",38,Keine,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),9277,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,2,männlich : geschieden/getrennt,keine,4,unbekannt/kein Eigentum,48,Keine,kostenlos,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,30,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),2181,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,keine,4,Immobilie,36,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
